   朝倉地区（平成５年）

住居表示対照表 （旧新）

（平成５年９月１日住居表示実施）




          旧表示           ページ

 あさくらこう
 朝倉甲            ・ ・ ・    1
あさくらこう
朝倉甲                  実施日 平成５年９月１日

朝倉甲６６３番地２０           朝倉横町２０番３８号

朝倉甲６６３番地２２           朝倉横町２０番４１－１５号

朝倉甲６６６番地             朝倉横町２０番４１－１２号

朝倉甲６７０番地２            朝倉横町２０番３５号

朝倉甲６７０番地４            朝倉横町２０番３５号

朝倉甲６７０番地５            朝倉横町２０番３５号

朝倉甲６７１番地４            朝倉横町２０番３５号

朝倉甲６７２番地１            朝倉横町２０番９－１７号

朝倉甲６７２番地４            朝倉横町２０番９－１９号

朝倉甲６７２番地６            朝倉横町２０番９－３号

朝倉甲６７２番地７            朝倉横町２０番９－５号

朝倉甲６７２番地９            朝倉横町２０番９－６号

朝倉甲６７２番地１７           朝倉横町２０番９－９号

朝倉甲６７２番地１９           朝倉横町２０番９－１０号

朝倉甲６７２番地３４           朝倉横町２０番９－１２号

朝倉甲６７２番地３６           朝倉横町２０番９－１４号

朝倉甲６７２番地３７           朝倉横町２０番９－１６号

朝倉甲６７２番地４１           朝倉横町２０番９－７号

朝倉甲６７２番地４７           朝倉横町２０番９－１５号

朝倉甲６７２番地５１           朝倉横町２０番９－２号

朝倉甲６７２番地５３           朝倉横町２０番９－１３号

朝倉甲６７４番地１            朝倉横町２０番３号

朝倉甲６７４番地４            朝倉横町２０番５号

朝倉甲６７４番地５            朝倉横町２０番６号

朝倉甲６７４番地６            朝倉横町２０番７号

朝倉甲６７４番地７            朝倉横町２０番８号

朝倉甲６７４番地９            朝倉横町２０番９－１号

朝倉甲６７５番地             朝倉横町１９番６号

朝倉甲６７５番地１            朝倉横町１９番１０号

朝倉甲６７５番地５            朝倉横町１９番１５号

朝倉甲６７５番地９            朝倉横町１９番５号

朝倉甲６７５番地９            朝倉横町１９番９号

朝倉甲６７５番地９            朝倉横町１９番１１号

朝倉甲６７５番地１０           朝倉横町１９番８号


                 7
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲６７５番地１１           朝倉横町１９番７号

朝倉甲６７６番地６            朝倉横町１９番３号

朝倉甲６７６番地７            朝倉横町１９番４号

朝倉甲９８７番地１            朝倉横町１８番１４号

朝倉甲９８７番地１            朝倉横町１８番１５号

朝倉甲９８７番地６            朝倉横町１８番１６号

朝倉甲９９０番地３            朝倉横町１８番２７号

朝倉甲９９０番地８            朝倉横町１８番２８号

朝倉甲９９０番地９            朝倉横町１８番２６号

朝倉甲９９１番地３            朝倉横町５番１０－１号

朝倉甲９９１番地４            朝倉横町６番１５号

朝倉甲９９１番地５            朝倉横町６番１７号

朝倉甲９９１番地８            朝倉横町６番１８号

朝倉甲９９１番地９            朝倉横町５番１１号

朝倉甲９９１番地１０           朝倉横町５番９号

朝倉甲９９３番地２            朝倉横町５番１０－２号

朝倉甲９９３番地５            朝倉横町５番１０－４号

朝倉甲９９３番地７            朝倉横町５番１０－３号

朝倉甲９９４番地４            朝倉横町５番５号

朝倉甲９９５番地１            朝倉横町１８番１号

朝倉甲９９５番地１            朝倉横町１８番２号

朝倉甲９９５番地１            朝倉横町１８番３号

朝倉甲９９５番地１            朝倉横町１８番４号

朝倉甲９９５番地１            朝倉横町１８番５号

朝倉甲９９５番地１            朝倉横町１８番６号

朝倉甲９９５番地１            朝倉横町１８番７号

朝倉甲９９５番地１            朝倉横町１８番８号

朝倉甲９９６番地１            朝倉横町４番１０号

朝倉甲９９６番地３            朝倉横町４番１６号

朝倉甲９９７番地２            朝倉横町４番７号

朝倉甲１００４番地            朝倉横町４番２３号

朝倉甲１０１６番地            朝倉横町４番３号

朝倉甲１０１７番地            朝倉横町４番１号

朝倉甲１０２１番地４           朝倉横町６番１２号

朝倉甲１０２１番地７           朝倉横町６番１３号

朝倉甲１０２１番地８           朝倉横町６番６号

朝倉甲１０２１番地９           朝倉横町５番１４号

朝倉甲１０２１番地１０          朝倉横町６番１０号

朝倉甲１０２１番地１２          朝倉横町５番１５号


                 8
あさくらこう
朝倉甲                  実施日 平成５年９月１日

         旧 表 示            新 表 示
朝倉甲１０２１番地１３          朝倉横町６番９号

朝倉甲１０２１番地１４          朝倉横町６番１１号

朝倉甲１０２１番地１７          朝倉横町６番８号

朝倉甲１０２２番地３           朝倉横町６番４３号

朝倉甲１０２７番地１           朝倉横町３番１２号

朝倉甲１０２７番地２           朝倉横町３番１１号

朝倉甲１０２８番地１           朝倉横町３番９号

朝倉甲１０２８番地１           朝倉横町３番１０号

朝倉甲１０３２番地１           朝倉横町３番５号

朝倉甲１０３９番地３           朝倉横町７番１１号

朝倉甲１０３９番地６           朝倉横町１番１９号

朝倉甲１０３９番地７           朝倉横町１番２０号

朝倉甲１０３９番地８           朝倉横町１番２２号

朝倉甲１０４３番地１           朝倉横町３番３号

朝倉甲１０４３番地３           朝倉横町３番１号

朝倉甲１０５０番地３           朝倉横町３番２３号

朝倉甲１０５５番地１           朝倉横町７番７号

朝倉甲１０５５番地４           朝倉横町７番９号

朝倉甲１０５５番地５           朝倉横町７番８号

朝倉甲１０５６番地２           朝倉横町１番２５号

朝倉甲１０５８番地１           朝倉横町２番３号

朝倉甲１０５８番地１           朝倉横町２番６号

朝倉甲１０５９番地５           朝倉横町１番５号

朝倉甲１０５９番地６           朝倉横町１番６号

朝倉甲１０５９番地７           朝倉横町１番１０号

朝倉甲１０５９番地７           朝倉横町４番１０号

朝倉甲１０５９番地９           朝倉横町２番９号

朝倉甲１０５９番地９           朝倉横町２番１０号

朝倉甲１０６８番地            朝倉横町１番１号

朝倉甲１０６８番地            朝倉横町１番３号

朝倉甲１０６９番地４           朝倉横町１番３５号

朝倉甲１０７０番地４           朝倉横町１番３３号

朝倉甲１０７４番地            朝倉横町１番３１号

朝倉甲１０７４番地４           朝倉横町１番３２号

朝倉甲１０７５番地            朝倉横町７番３号

朝倉甲１０７５番地４           朝倉横町１番２７号

朝倉甲１０７５番地６           朝倉横町７番１号

朝倉甲１０７５番地１０          朝倉横町１番２８号

朝倉甲１０７６番地            朝倉横町７番３７号


                 9
あさくらこう
朝倉甲                   実施日 平成５年９月１日

         旧 表 示             新 表 示
朝倉甲１０７６番地             朝倉横町７番３８号

朝倉甲１０８０番地２            朝倉横町７番２５号

朝倉甲１０８４番地１            朝倉横町７番３２号

朝倉甲１０８４番地５            朝倉横町７番３１号

朝倉甲１０８５番地４            朝倉横町７番２７号

朝倉甲１０８５番地６            朝倉横町７番３０号

朝倉甲１０８８番地             朝倉横町９番１０号

朝倉甲１０８８番地１            朝倉横町７番２０号

朝倉甲１０８８番地５            朝倉横町７番２４号

朝倉甲１１００番地             朝倉横町７番２６号

朝倉甲１１００番地             朝倉横町９番５号

朝倉甲１１０１番地２            朝倉横町８番２５－１号

朝倉甲１１０１番地２            朝倉横町８番２５－２号

朝倉甲１１０１番地３            朝倉横町８番２５－３号

朝倉甲１１０１番地４            朝倉横町８番２３号

朝倉甲１１０１番地４            朝倉横町８番２４号

朝倉甲１１０１番地７            朝倉横町８番２５－３号

朝倉甲１１０１番地７            朝倉横町８番２５－５号

朝倉甲１１０１番地７            朝倉横町８番２５－６号

朝倉甲１１０１番地９            朝倉横町８番２５－５号

朝倉甲１１０１番地１３           朝倉横町８番２５－６号

朝倉甲１１０２番地１            朝倉横町１５番５１号

朝倉甲１１０２番地３            朝倉横町１５番１号

朝倉甲１１０２番地４            朝倉横町１５番５３号

朝倉甲１１０２番地５            朝倉横町１５番５２号

朝倉甲１１０５番地４            朝倉横町６番３０－１号

朝倉甲１１０５番地６            朝倉横町６番３０－３号

朝倉甲１１０５番地７            朝倉横町６番３０－４号

朝倉甲１１０５番地８            朝倉横町６番３０－５号

朝倉甲１１０５番地１０           朝倉横町６番３０－２号

朝倉甲１１１２番地１            朝倉横町１７番１号

朝倉甲１１１２番地５            朝倉横町１７番２号

朝倉甲１１１４番地             朝倉横町１７番３号

朝倉甲１１１５番地１            朝倉横町１７番１７－６号

朝倉甲１１１５番地３            朝倉横町１７番１７－５号

朝倉甲１１１５番地５            朝倉横町１７番１７－４号

朝倉甲１１１５番地６            朝倉横町１７番１４－５号

朝倉甲１１１５番地７            朝倉横町１７番１４－６号

朝倉甲１１１５番地８            朝倉横町１７番１４－４号


                 10
あさくらこう
朝倉甲                   実施日 平成５年９月１日

         旧 表 示             新 表 示
朝倉甲１１１５番地９            朝倉横町１７番２３号

朝倉甲１１１５番地１０           朝倉横町１７番１４－３号

朝倉甲１１１６番地５            朝倉横町１７番１７－７号

朝倉甲１１１６番地６            朝倉横町１７番１７－８号

朝倉甲１１１６番地７            朝倉横町１７番１４－７号

朝倉甲１１１６番地１０           朝倉横町１７番１７－３号

朝倉甲１１２７番地２            朝倉横町１６番３号

朝倉甲１１３１番地１            朝倉横町１５番１３号

朝倉甲１１３１番地２            朝倉横町１５番１４号

朝倉甲１１３４番地５            朝倉横町１５番４６号

朝倉甲１１３４番地７            朝倉横町８番２０号

朝倉甲１１３４番地８            朝倉横町１５番４８号

朝倉甲１１３４番地９            朝倉横町１５番４９号

朝倉甲１１３４番地９            朝倉横町１５番５０号

朝倉甲１１３４番地１０           朝倉横町１５番４７号

朝倉甲１１３４番地１１           朝倉横町８番１５号

朝倉甲１１３４番地１２           朝倉横町８番１７号

朝倉甲１１３４番地１３           朝倉横町８番１９号

朝倉甲１１３４番地１４           朝倉横町８番２２号

朝倉甲１１３５番地             朝倉横町１５番４４－６号

朝倉甲１１３５番地７            朝倉横町１５番４４－３号

朝倉甲１１３５番地８            朝倉横町１５番４３号

朝倉甲１１３５番地１０           朝倉横町１５番４５号

朝倉甲１１３５番地１１           朝倉横町１５番４４－５号

朝倉甲１１３５番地１５           朝倉横町１５番４４－６号

朝倉甲１１３５番地１６           朝倉横町１５番４１号

朝倉甲１１３７番地             朝倉横町１５番３５号

朝倉甲１１４１番地             朝倉横町１５番２８号

朝倉甲１１５０番地３            朝倉横町１４番１号

朝倉甲１１５２番地             朝倉横町１４番１０号

朝倉甲１１５３番地２            朝倉横町１４番１２号

朝倉甲１１５３番地３            朝倉横町１４番１３号

朝倉甲１１５４番地１            朝倉横町１４番２１号

朝倉甲１１５４番地３            朝倉横町１４番２号

朝倉甲１１５８番地             朝倉横町１４番２２号

朝倉甲１１５９番地             朝倉横町１４番１６号

朝倉甲１１６１番地             朝倉横町１４番１８号

朝倉甲１１６２番地             朝倉横町１４番１８号

朝倉甲１１６３番地             朝倉横町１３番１３号


                 11
あさくらこう
朝倉甲                   実施日 平成５年９月１日

         旧 表 示             新 表 示
朝倉甲１１６３番地３            朝倉横町１３番１２号

朝倉甲１１６４番地１            朝倉横町１３番１５号

朝倉甲１１６４番地２            朝倉横町１３番１６号

朝倉甲１１６４番地３            朝倉横町１３番１４号

朝倉甲１１６４番地５            朝倉横町１３番１４号

朝倉甲１１６７番地             朝倉横町１３番２１号

朝倉甲１１６９番地             朝倉横町１３番１７号

朝倉甲１１７０番地１            朝倉横町１３番１８号

朝倉甲１１７４番地             朝倉横町１３番２３号

朝倉甲１１７９番地             朝倉横町１３番２８号

朝倉甲１１８０番地             朝倉横町１３番３３号

朝倉甲１１８０番地             朝倉横町１３番３４号

朝倉甲１１８１番地             朝倉横町１３番３３号

朝倉甲１１８２番地             朝倉横町１３番１０号

朝倉甲１１８５番地             朝倉横町１３番７号

朝倉甲１１８６番地４            朝倉横町１３番５号

朝倉甲１１９２番地             朝倉横町１３番１号

朝倉甲１１９５番地             朝倉横町９番２０号

朝倉甲１１９６番地             朝倉横町９番１８号

朝倉甲１１９６番地             朝倉横町９番１９号

朝倉甲１１９８番地２            朝倉横町９番１６号

朝倉甲１１９９番地２            朝倉横町９番１５号

朝倉甲１１９９番地３            朝倉横町９番５２号

朝倉甲１２００番地             朝倉横町９番５１号

朝倉甲１２００番地４            朝倉横町９番１３号

朝倉甲１２００番地４            朝倉横町９番１４号

朝倉甲１２００番地５            朝倉横町９番５２号

朝倉甲１２０１番地６            朝倉横町９番５０号

朝倉甲１２０２番地１            朝倉横町１０番２号

朝倉甲１２０２番地１            朝倉横町１０番４８号

朝倉甲１２０３番地１            朝倉横町９番４５号

朝倉甲１２１５番地             朝倉横町９番２０号

朝倉甲１２１７番地             朝倉横町９番２２号

朝倉甲１２１９番地２            朝倉横町９番２３号

朝倉甲１２１９番地２            朝倉横町９番２５号

朝倉甲１２２１番地３            朝倉横町９番２６号

朝倉甲１２２３番地             朝倉横町１０番９号

朝倉甲１２２３番地１            朝倉横町９番４３号

朝倉甲１２２４番地             朝倉横町１０番９号


                 12
あさくらこう
朝倉甲                   実施日 平成５年９月１日

         旧 表 示             新 表 示
朝倉甲１２２７番地             朝倉横町１０番１０－３号

朝倉甲１２２８番地１            朝倉横町１０番８号

朝倉甲１２２９番地１            朝倉横町１０番５号

朝倉甲１２２９番地１            朝倉横町１０番４６号

朝倉甲１２２９番地４            朝倉横町１０番４７号

朝倉甲１２２９番地６            朝倉横町１０番６号

