  高須地区（昭和57年）

住居表示対照表 （旧新）

（昭和57年８月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 昭和57年８月１日

高須１３９３番地５         高須新町二丁目３番１３号

高須１３９３番地５         高須新町二丁目１２番１６号

高須１３９３番地５         高須新町二丁目１５番７号

高須１３９３番地８         高須新町二丁目１６番６号

高須１３９３番地９         高須新町二丁目１６番４号


              9
たかす
高須                 実施日 昭和57年８月１日

      旧 表 示             新 表 示
高須１３９３番地１０         高須新町二丁目３番５号

高須１３９３番地１０         高須新町二丁目３番６号

高須１３９３番地１０         高須新町二丁目３番７号

高須１３９３番地１０         高須新町二丁目３番１０号

高須１３９３番地１０         高須新町二丁目３番１１号

高須１３９３番地１１         高須新町二丁目８番２１号

高須１３９３番地１１         高須新町二丁目１２番５号

高須１３９３番地１１         高須新町二丁目１２番７号

高須１３９３番地１２         高須新町二丁目９番１０号

高須１３９３番地１２         高須新町二丁目９番１３号

高須１３９３番地１３         高須新町二丁目１６番９号

高須１３９３番地１４         高須新町二丁目９番６号

高須１３９３番地１４         高須新町二丁目９番７号

高須１３９３番地１５         高須新町二丁目１１番１７号

高須１３９３番地１６         高須新町二丁目９番４号

高須１３９３番地１６         高須新町二丁目１１番１８号

高須１３９３番地１８         高須新町二丁目１１番５号

高須１３９３番地１８         高須新町二丁目１６番２号

高須１３９３番地１８         高須新町二丁目１６番３号

高須１３９３番地１９         高須新町一丁目６番１８号

高須１３９３番地２１         高須新町二丁目１１番３号

高須１３９３番地２４         高須新町二丁目１６番１３号

高須１３９３番地４３         高須新町二丁目１１番１０号

高須１３９３番地４３         高須新町二丁目１１番１２号

高須１３９３番地４４         高須新町二丁目１１番２号

高須１３９３番地４６         高須新町二丁目１０番６号

高須１３９３番地４９         高須新町二丁目１１番１２号

高須１３９３番地５０         高須新町二丁目１１番８号

高須１３９３番地５２         高須新町二丁目１６番８号

高須１３９３番地５２         高須新町二丁目１６番１６号

高須１３９３番地５６         高須新町二丁目９番３号

高須１３９３番地５８         高須新町二丁目１０番１号

高須１３９３番地５９         高須新町二丁目１０番２号

高須１３９３番地６０         高須新町一丁目６番１５号

高須１３９３番地６０         高須新町一丁目６番１６号

高須１３９３番地６０         高須新町二丁目１０番２号

高須１３９３番地６１         高須新町二丁目１０番１１号

高須１３９３番地６２         高須新町二丁目１０番９号

高須１３９３番地６３         高須新町二丁目１１番５号


              10
たかす
高須                 実施日 昭和57年８月１日

      旧 表 示             新 表 示
高須１３９３番地６４         高須新町二丁目１１番６号

高須１３９３番地６５         高須新町二丁目１１番１８号

高須１３９３番地６７         高須新町二丁目９番２号

高須１３９３番地６８         高須新町二丁目１０番５号

高須１３９３番地６９         高須新町二丁目９番１号

高須１３９３番地６９         高須新町二丁目１０番３号

高須１３９３番地８７         高須新町二丁目３番３号

高須１３９３番地８８         高須新町一丁目１４番１６号

高須１３９３番地８９         高須新町一丁目１４番２１号

高須１３９４番地２          高須新町一丁目１３番１５号

高須１３９４番地４          高須新町一丁目１３番１０号

高須１３９４番地４          高須新町一丁目１４番１０号

高須１３９４番地４          高須新町一丁目１４番２７号

高須１３９４番地５          高須新町一丁目６番１２号

高須１３９４番地５          高須新町一丁目１４番２３号

高須１３９４番地６          高須新町一丁目１３番１３号

高須１３９４番地６          高須新町一丁目１３番１８号

高須１３９４番地６          高須新町一丁目１３番２４号

高須１３９４番地１０         高須新町一丁目６番３１号

高須１３９４番地１０         高須新町一丁目１４番６号

高須１３９４番地２３         高須新町一丁目１３番１１号

