  高須地区（平成15年）

住居表示対照表 （旧新）

（平成15年３月１日住居表示実施）




       旧表示           ページ

 たかす
 高須          ・ ・ ・    1
たかす
高須                実施日 平成１５年 ３月 １日

高須６７６番地９           高須三丁目３５番１０号

高須６７７番地１           高須三丁目３４番１号

高須６７７番地７           高須三丁目３４番３号

高須６７７番地８           高須三丁目３４番２号

高須６７７番地９           高須三丁目３４番１０号

高須６７８番地１           高須三丁目２０番１４号

高須６７８番地３           高須三丁目２０番１３－７号

高須６８０番地２           高須三丁目３４番８号

高須６８０番地８           高須三丁目３４番１１号

高須６８０番地１１          高須三丁目３４番１２号

高須６８５番地１           高須三丁目３３番１４号

高須６８５番地２           高須大島９番１０号

高須６８５番地６           高須三丁目３２番２－２号

高須６８５番地１１          高須三丁目３３番１２号

高須６８５番地１２          高須三丁目３３番１３号

高須６８５番地１４          高須三丁目３２番２－５号


              11
たかす
高須                 実施日 平成１５年 ３月 １日

      旧 表 示             新 表 示
高須６８５番地１５          高須三丁目３２番２－１号

高須６８５番地１６          高須三丁目３２番２－４号

高須６８５番地１７          高須三丁目３２番２－３号

高須６８６番地１           高須三丁目２１番１２号

高須６８６番地２           高須三丁目２１番１６号

高須６８６番地５           高須三丁目２２番６号

高須６８６番地６           高須三丁目２２番１号

高須６８６番地７           高須三丁目２１番１４号

高須６８６番地８           高須三丁目２１番１５号

高須６８６番地１０          高須三丁目２２番２号

高須６８６番地１１          高須三丁目２２番３号

高須６８７番地２           高須三丁目２２番１２号

高須６８７番地４           高須三丁目２３番１０号

高須６８７番地５           高須三丁目２２番１１号

高須６８７番地６           高須三丁目２０番１３－３号

高須６８７番地６           高須三丁目２２番１０号

高須６８７番地７           高須三丁目２２番９号

高須６８７番地８           高須三丁目２２番８号

高須６８７番地９           高須三丁目２３番９号

高須６８７番地１０          高須三丁目２３番８号

高須６８７番地１１          高須三丁目２３番６号

高須６８７番地１２          高須三丁目２３番５号

高須６８７番地１４          高須三丁目２３番３号

高須６８７番地１５          高須三丁目２３番２号

高須６８７番地１６          高須三丁目２３番１号

高須６８９番地            高須三丁目３１番１８号

高須６８９番地１           高須三丁目３１番１８号

高須６８９番地５           高須三丁目３２番９号

高須６８９番地６           高須三丁目３１番３号

高須６８９番地１１          高須三丁目３２番１０号

高須６８９番地１２          高須三丁目３２番８号

高須６８９番地１３          高須三丁目３１番１号

高須６９０番地            高須三丁目３１番１６号

高須６９２番地２           高須三丁目２３番１５号

高須６９２番地５           高須三丁目２４番１３号

高須６９２番地６           高須三丁目２４番２２号

高須６９２番地７           高須三丁目２４番２０号

高須６９２番地８           高須三丁目２４番１９号

