   朝倉地区（平成３年）

住居表示対照表 （旧新）

（平成３年５月１日住居表示実施）




         旧表示           ページ

 あさくらぼ
 朝倉戊           ・ ・ ・    1
 あさくらき
 朝倉己           ・ ・ ・    6
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

朝倉戊１１８７番地１０         針木東町９番１８号

朝倉戊１１８７番地１１         針木東町９番１７号

朝倉戊１１８８番地６          針木東町９番１５号

朝倉戊１１８８番地７          針木東町９番１４号

朝倉戊１１８８番地８          針木東町９番６号

朝倉戊１１８８番地１０         針木東町９番３号

朝倉戊１１８８番地１１         針木東町９番２号

朝倉戊１１８８番地１２         針木東町９番１号

朝倉戊１１８９番地４          針木東町１０番２０号

朝倉戊１１８９番地５          針木東町１０番１７号

朝倉戊１１８９番地６          針木東町１０番１６号

朝倉戊１１８９番地７          針木東町１０番１５号

朝倉戊１１８９番地８          針木東町１０番１４号

朝倉戊１１８９番地１１         針木東町１０番６号

朝倉戊１１８９番地１２         針木東町１０番５号

朝倉戊１１８９番地１３         針木東町１０番４号

朝倉戊１１８９番地１４         針木東町１０番２号

朝倉戊１１８９番地１５         針木東町１０番１号

朝倉戊１１９０番地１０         針木東町１０番８号

朝倉戊１１９０番地１２         針木東町１１番１３号

朝倉戊１１９０番地１３         針木東町１１番１５号

朝倉戊１１９０番地１４         針木東町１１番１６号

朝倉戊１１９０番地１５         針木東町１１番１８号

朝倉戊１１９０番地１６         針木東町１１番１９号

朝倉戊１１９１番地７          針木東町１９番１５号

朝倉戊１１９１番地８          針木東町１９番１７号

朝倉戊１１９１番地９          針木東町１９番１８号

朝倉戊１１９１番地１０         針木東町１９番１９号

朝倉戊１１９１番地１１         針木東町１０番１２号

朝倉戊１１９１番地１３         針木東町１９番２２号

朝倉戊１１９１番地１４         針木東町１９番２号

朝倉戊１１９１番地１５         針木東町１９番４号

朝倉戊１１９１番地１６         針木東町１９番５号

朝倉戊１１９１番地２１         針木東町１１番１２号

朝倉戊１１９４番地４７         針木東町１２番４号

朝倉戊１１９５番地４          針木東町１６番２７号

朝倉戊１１９５番地５          針木東町１６番２８－２号

朝倉戊１１９５番地７          針木東町１６番２２号


                8
あさくらぼ
朝倉戊                 実施日 平成３年５月１日

        旧 表 示            新 表 示
朝倉戊１１９５番地８          針木東町１６番２３号

朝倉戊１１９５番地９          針木東町１６番２４号

朝倉戊１１９５番地１０         針木東町１７番５号

朝倉戊１１９５番地１１         針木東町１７番３号

朝倉戊１１９５番地１６         針木東町１４番１１号

朝倉戊１１９５番地１９         針木東町１３番５号

朝倉戊１１９５番地２１         針木東町１３番８号

朝倉戊１１９５番地２５         針木東町１７番１７号

朝倉戊１１９５番地２６         針木東町１７番１５号

朝倉戊１１９５番地２７         針木東町１７番１４号

朝倉戊１１９５番地３０         針木東町１８番２号

朝倉戊１１９５番地３１         針木東町１８番４号

朝倉戊１１９５番地３２         針木東町１８番５号

朝倉戊１１９５番地３３         針木東町１８番６号

朝倉戊１１９５番地３６         針木東町１８番１４号

朝倉戊１１９５番地３７         針木東町１８番１５号

朝倉戊１１９５番地３８         針木東町１８番１７号

朝倉戊１１９５番地３９         針木東町１８番１８号

朝倉戊１１９５番地４３         針木東町１３番１３号

朝倉戊１１９５番地４５         針木東町１３番１４号

朝倉戊１１９５番地４６         針木東町１３番１６号

朝倉戊１１９５番地４７         針木東町１２番１０号

朝倉戊１１９５番地４８         針木東町１２番７号

朝倉戊１１９５番地５０         針木東町１２番５号

朝倉戊１１９５番地５２         針木東町１２番１５号

朝倉戊１１９５番地５３         針木東町１２番１４号

朝倉戊１１９５番地５４         針木東町１２番１３号

朝倉戊１１９５番地５５         針木東町１１番８号

朝倉戊１１９５番地５６         針木東町１１番７号

朝倉戊１１９５番地５７         針木東町１１番５号

朝倉戊１１９５番地５８         針木東町１１番３号

朝倉戊１１９５番地６２         針木東町１８番１９号

朝倉戊１１９５番地６４         針木東町１７番１９号

朝倉戊１２０８番地           針木東町１４番６号

朝倉戊１２０８番地５          針木東町１４番６号

朝倉戊１２０９番地６          針木東町１５番８号

朝倉戊１２０９番地７          針木東町１５番１１号

朝倉戊１２０９番地８          針木東町１５番１３号

朝倉戊１２１９番地           針木東町２７番２８号


                9
あさくらぼ
朝倉戊                  実施日 平成３年５月１日

        旧 表 示             新 表 示
朝倉戊１２５１番地７           針木東町１６番１６号

朝倉戊１２５１番地７           針木東町１６番１８号

朝倉戊１２５１番地８           針木東町１６番１９号

朝倉戊１２５１番地９           針木東町１６番２１号

朝倉戊１２５１番地１２          針木東町１７番６号

朝倉戊１２５１番地１３          針木東町１７番７号

朝倉戊１２５１番地１４          針木東町１７番１１号

朝倉戊１２５１番地１５          針木東町１７番１３号

朝倉戊１２５１番地１８          針木東町１８番８号

朝倉戊１２５１番地２０          針木東町２３番３２号

朝倉戊１２５１番地２１          針木東町２３番３４号

朝倉戊１２５１番地２２          針木東町２３番３５号

朝倉戊１２５１番地２３          針木東町２３番３６号

朝倉戊１２５１番地２４          針木東町２３番３８号

朝倉戊１２５３番地１           針木東町２４番２号

朝倉戊１２５３番地５           針木東町２４番４号

朝倉戊１２５３番地６           針木東町２４番３号

朝倉戊１２５３番地７           針木東町２４番３号

朝倉戊１２５３番地８           針木東町２４番５号

朝倉戊１２６０番地７           針木東町２３番３０号

朝倉戊１２６５番地            針木東町２４番２０号

朝倉戊１２６６番地１           針木東町２４番２２号

朝倉戊１２７６番地            針木東町２６番４１号

朝倉戊１２７８番地１           針木東町２６番４７号

朝倉戊１２７８番地３           針木東町２７番２０号

朝倉戊１２８５番地１           針木東町２７番６号

朝倉戊１３８７番地            針木東町２６番３４号

朝倉戊１４５１番地            槙山町３番３号

朝倉戊１４６５番地１           槙山町１０番５０号

朝倉戊１４６５番地２５          槙山町１０番３８号

朝倉戊１４６５番地３３          槙山町５番２１号

朝倉戊１４６７番地１           槙山町１２番３号




                10
あさくらき
朝倉己                  実施日 平成３年５月１日

        旧 表 示             新 表 示
朝倉己１１４９番地１４７         針木東町２５番２号




                11

