        仁井田地区

住居表示対照表 （旧新）

（平成８年２月１日住居表示実施）




       旧表示           ページ

 にいだ
 仁井田         ・ ・ ・    1
にいだ
仁井田               実施日 平成８年２月１日

仁井田２４７２番地２        十津一丁目７番２０号

仁井田２４７２番地３        十津一丁目４番１号

仁井田２４７２番地５        十津一丁目４番３号

仁井田２４７２番地６        十津一丁目７番１８号

仁井田２４７２番地７        十津一丁目４番３号

仁井田２４７２番地８        十津一丁目７番１７号

仁井田２４７２番地９        十津一丁目４番４号

仁井田２４７２番地１０       十津一丁目７番１６号

仁井田２４７２番地１１       十津一丁目４番５号

仁井田２４７２番地１２       十津一丁目７番１４号

仁井田２４７２番地１３       十津一丁目４番６号

仁井田２４７２番地１４       十津一丁目７番１３号

仁井田２４７２番地１５       十津一丁目４番７号

仁井田２４７２番地１６       十津一丁目７番１２号

仁井田２４７２番地２０       十津一丁目４番８号

仁井田２４７２番地２３       十津一丁目７番１５号

仁井田２４７４番地７        十津一丁目４番１９号

仁井田２４７４番地８        十津一丁目４番１８号

仁井田２４７４番地９        十津一丁目４番１７号

仁井田２４７４番地１０       十津一丁目４番１６号

仁井田２４７４番地１１       十津一丁目４番１５号

仁井田２４７４番地１７       十津一丁目４番１４号

仁井田２４７４番地２０       十津一丁目４番１２号

仁井田２４８１番地２        十津一丁目３番５６号


              9
にいだ
仁井田                実施日 平成８年２月１日

      旧 表 示             新 表 示
仁井田２４８２番地８         十津一丁目３番５１－９号

仁井田２４８２番地９         十津一丁目３番５１－８号

仁井田２４８２番地１０        十津一丁目３番５１－７号

仁井田２４８２番地１１        十津一丁目３番５１－６号

仁井田２４８４番地３         十津三丁目１３番３６号

仁井田２４８４番地４         十津三丁目１３番３３号

仁井田２４８４番地８         十津三丁目１３番３０号

仁井田２４８４番地１０        十津三丁目１３番２９号

仁井田２４８４番地１１        十津三丁目１３番２６号

仁井田２４８４番地１３        十津三丁目１３番３１号

仁井田２４８４番地１４        十津三丁目１３番３５号

仁井田２４８４番地１５        十津三丁目１３番２８号

仁井田２４８４番地１６        十津三丁目１３番２７号

仁井田２４９０番地          十津三丁目１３番２５号

仁井田２４９０番地３         十津三丁目１３番９号

